line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num Precinct total,num Precinct rptg,over votes,under votes
1,President of the US - Rep (Vote For 1),Ryan L. Binkley,REP,377,0.06,6154169,589722,159,159,0,3
2,President of the US - Rep (Vote For 1),Doug Burgum,REP,161,0.03,6154169,589722,159,159,0,3
3,President of the US - Rep (Vote For 1),Chris Christie,REP,2054,0.35,6154169,589722,159,159,0,3
4,President of the US - Rep (Vote For 1),Ron DeSantis,REP,7457,1.27,6154169,589722,159,159,0,3
5,President of the US - Rep (Vote For 1),Nikki Haley,REP,77902,13.23,6154169,589722,159,159,0,3
6,President of the US - Rep (Vote For 1),Asa Hutchinson,REP,383,0.07,6154169,589722,159,159,0,3
7,President of the US - Rep (Vote For 1),Perry Johnson,REP,134,0.02,6154169,589722,159,159,0,3
8,President of the US - Rep (Vote For 1),Vivek Ramaswamy,REP,1244,0.21,6154169,589722,159,159,0,3
9,President of the US - Rep (Vote For 1),Tim Scott,REP,1398,0.24,6154169,589722,159,159,0,3
10,President of the US - Rep (Vote For 1),David Stuckenberg,REP,243,0.04,6154169,589722,159,159,0,3
11,President of the US - Rep (Vote For 1),Donald J. Trump,REP,497594,84.49,6154169,589722,159,159,0,3
12,President of the US - Dem (Vote For 1),"Joseph R. Biden, Jr. (I)",DEM,276141,95.19,6154169,589722,159,159,0,0
13,President of the US - Dem (Vote For 1),Dean Phillips,DEM,5271,1.82,6154169,589722,159,159,0,0
14,President of the US - Dem (Vote For 1),Marianne Williamson,DEM,8673,2.99,6154169,589722,159,159,0,0
